6892_8764_000976|Wokulski przybiegł do niej. Podała mu rękę i we dwoje opuścili salon. Osamotnionego księcia zaraz otoczyli mężczyźni; niektórzy prosili go, ażeby zapoznał
6892_10920_001533|I ty jeszcze będziesz śmiał bronić Ramzesa?. — krzyknął Mefres. — Bronić go muszę i będę, gdyż uroczyście zaprzysiągłem to królowej. Gdyby zaś nie czcigodna córka świętego Amenhotepa, nasze położenie nie byłoby takiem, jak jest
6892_8338_000287|Choć jest ona w nas, to przecież rozumieć jej w tem życiu nie możemy dla tych samych powodów, dla jakich gąsienica nie czuje w sobie i nie rozumie motyla. — Być może, iż myśli moje zeszły się z pojęciami braminów, nie będę przeczył,
6892_10462_000578|Przyszła chwila rozkwitu dla nowe nauki. Nasza epoka est pełna ta- kich rozkwitów niespodzianych, takich do rzewań pozornie nagłych, a na które wieki się składały.
7014_6834_000368|Zresztą nie zakazuję ci żebrać w przerwach między jednym a drugim poleceniem. Złóż więc dzięki niebu za szczęśliwe zrządzenie losu i pójdź ze mną do cyrulika, gdzie zatrzymam się chwilę i będziemy mogli porozmawiać.
6892_8912_000729|Proszę pana, tu panowie wysiadają. Pan baron już pije herbatę. Wokulski ocknął się, nad nim stal konduktor i budził go w najuprzejmiejszy sposób. — Jakto, już dzień? — spytał zdziwiony
6892_10674_000209|Prawdę mówisz — wtrącił Tutmozis. — To samo i ja spostrzegłem i to samo słyszę od naszych oficerów, którzy twierdzą, że takie wojsko asyryjskie, jakie tu widzieli, słabszy stawi opór, aniżeli hordy libijskie
6892_8912_001912|Więc to Maruszewicz! — pomyślałem. — Ładna para. — Ja jestem zupełnie inny — odparł ciszej męski głos za drzwiami i znowu rozległy się dwa pocałunki, zpewnością w rękę.
7014_6834_001294|Jaśnie Oświecony książe, racz pozwolić przyjechać memu bratu, szczęście moje bowiem nie będzie zupełnem jeżeli go nie uściskam po tak długiem rozłączeniu. Książe zmarszczył brwi i odpowiedział:
6892_8912_000556|Czy jesteś tego pewna? — Najzupełniej. Zresztą przekonałam się, że to, co wydawało mi się sidłami z jego strony, jest tylko interesem. Ojciec pożycza mu trzydzieści tysięcy rubli i kto wie, czy wszystkie jego zabiegi nie do tego były skierowane
6892_10350_000147|Szczęścia na świecie drogi kręte, śliskie: A każdy chciwie do mety się śpieszy Uwielbia nader jeden stany niskie, Chce być ukrytym w pospolitej rzeszy:
